"Id","Designator","Package","Quantity","Designation","Supplier and ref",
1,"U1","Tiva_Breakout",1,"TM4C129E_Launchpad",,,
2,"G***,G***","0_MRDT_Logo_30mm",2,"LOGO",,,
3,"REF**,REF**","4_40_Hole",2,"4_40_Hole",,,
4,"REF**,REF**","4_40_Hole_Corner",2,"4_40_Hole",,,
5,"G***","z_sig_Patrick_Sanchez_15mmx5mm",1,"LOGO",,,
6,"12V_B2","MOLEX_SL_04_Horizontal",1,"Molex_SL_04",,,
7,"Conn30V_R1","MOLEX_SL_08_Horizontal",1,"Molex_SL_07",,,
8,"ConnPCH_C2","MOLEX_SL_10_Horizontal",1,"Molex_SL_10",,,
9,"D1","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",1,"3V3_LED",,,
10,"R1","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",1,"330",,,
11,"Conn1","MOLEX_SL_02_Horizontal",1,"Molex_SL_02",,,
12,"Conn30V_L1","MOLEX_SL_07_Horizontal",1,"Molex_SL_08",,,
